VALUE,COUNT,ECOREGION_RASTER,US_200EVT,ECO_NAME,EVT_NAME,EVT_PHYS
1,507507,17051,7921,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,Western Cool Temperate Developed Ruderal Evergreen Forest,Developed
2,555128,17051,7920,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,Western Cool Temperate Developed Ruderal Deciduous Forest,Developed
3,1321794,17051,7299,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,Developed-Roads,Developed-Roads
4,378171,17051,7901,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,Western Cool Temperate Urban Evergreen Forest,Developed
5,1239922,17051,7296,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,Developed-Low Intensity,Developed-Low Intensity
6,214811,17051,7035,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,North Pacific Dry Douglas-fir-(Madrone) Forest and Woodland,Conifer
7,603870,17051,7297,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,Developed-Medium Intensity,Developed-Medium Intensity
8,1270239,17051,7039,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Conifer
9,279679,17051,7298,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,Developed-High Intensity,Developed-High Intensity
10,2487741,17051,7063,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,North Pacific Broadleaf Landslide Forest,Hardwood
11,496202,17051,7900,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,Western Cool Temperate Urban Deciduous Forest,Developed
12,306524,17051,9170,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,North Pacific Lowland Mixed Hardwood-Conifer Forest,Conifer-Hardwood
13,2101557,17051,7037,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Conifer
14,103596,17051,7922,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,Western Cool Temperate Developed Ruderal Mixed Forest,Developed
15,143707,17051,7904,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,Western Cool Temperate Urban Shrubland,Developed
16,174662,17051,7902,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,Western Cool Temperate Urban Mixed Forest,Developed
17,17233,17051,9171,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,North Pacific Maritime Coastal Sand Dune and Strand,Sparsely Vegetated
18,216438,17051,7903,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,Western Cool Temperate Urban Herbaceous,Developed
19,87704,17051,7966,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,Western Cool Temperate Fallow/Idle Cropland,Agricultural
20,118406,17051,7960,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,Western Cool Temperate Orchard,Agricultural
21,50461,17051,7923,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,Western Cool Temperate Developed Ruderal Shrubland,Developed
22,191294,17051,7924,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,Western Cool Temperate Developed Ruderal Grassland,Developed
23,1423862,17051,7156,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,North Pacific Lowland Riparian Forest,Riparian
24,143087,17051,7036,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,North Pacific Seasonal Sitka Spruce Forest,Conifer
25,211957,17051,7942,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,Western Cool Temperate Developed Ruderal Mixed Forested Wetland,Developed
26,866028,17051,7292,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,Open Water,Open Water
27,31123,17051,9326,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,Southern Vancouverian Lowland Ruderal Shrubland,Exotic Tree-Shrub
28,1557396,17051,7967,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,Western Cool Temperate Pasture and Hayland,Agricultural
29,87364,17051,7962,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,Western Cool Temperate Bush fruit and berries,Agricultural
30,81198,17051,7192,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,Recently Logged-Shrub Cover,Shrubland
31,62594,17051,7965,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,Western Cool Temperate Close Grown Crop,Agricultural
32,192609,17051,7191,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,Recently Logged-Herb and Grass Cover,Grassland
33,79517,17051,9826,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,Southern Vancouverian Lowland Ruderal Grassland,Exotic Herbaceous
34,98083,17051,7668,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,Temperate Pacific Tidal Salt and Brackish Marsh,Riparian
35,415537,17051,7964,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,Western Cool Temperate Row Crop,Agricultural
36,27605,17051,7157,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,North Pacific Lowland Riparian Shrubland,Riparian
37,95,17051,-9999,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests, , 
38,43,17051,9667,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,North Pacific Hypermaritime Shrub Headland,Shrubland
39,267512,17051,7662,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,Temperate Pacific Freshwater Emergent Marsh,Riparian
40,22846,17051,7944,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,Western Cool Temperate Developed Ruderal Herbaceous Wetland,Developed
41,214197,17051,7193,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,Recently Logged-Tree Cover,Conifer
42,373,17051,7961,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,Western Cool Temperate Vineyard,Agricultural
43,1432,17051,7663,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,North Pacific Shrub Swamp,Shrubland
44,4751,17051,7198,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,Recently Disturbed Other-Herb and Grass Cover,Grassland
45,7601,17051,7295,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads
46,2074,17051,7200,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,Recently Disturbed Other-Tree Cover,Conifer
47,3944,17051,7195,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,Recently Burned-Herb and Grass Cover,Grassland
48,3440,17051,7968,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,Western Cool Temperate Wheat,Agricultural
49,1055,17051,7199,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,Recently Disturbed Other-Shrub Cover,Shrubland
50,33863,17051,7733,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,North Pacific Montane Massive Bedrock-Cliff and Talus,Sparsely Vegetated
51,282569,17039,7063,North Cascades,North Pacific Broadleaf Landslide Forest,Hardwood
52,308130,17039,7036,North Cascades,North Pacific Seasonal Sitka Spruce Forest,Conifer
53,546365,17039,9170,North Cascades,North Pacific Lowland Mixed Hardwood-Conifer Forest,Conifer-Hardwood
54,578409,17039,7178,North Cascades,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,Conifer
55,230353,17051,7178,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,Conifer
56,202579,17039,7037,North Cascades,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Conifer
57,7614,17039,7964,North Cascades,Western Cool Temperate Row Crop,Agricultural
58,51410,17039,7299,North Cascades,Developed-Roads,Developed-Roads
59,73241,17039,7967,North Cascades,Western Cool Temperate Pasture and Hayland,Agricultural
60,110520,17039,7039,North Cascades,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Conifer
61,3071,17039,7962,North Cascades,Western Cool Temperate Bush fruit and berries,Agricultural
62,318574,17039,7156,North Cascades,North Pacific Lowland Riparian Forest,Riparian
63,106227,17039,7901,North Cascades,Western Cool Temperate Urban Evergreen Forest,Developed
64,44490,17039,7900,North Cascades,Western Cool Temperate Urban Deciduous Forest,Developed
65,22709,17039,7902,North Cascades,Western Cool Temperate Urban Mixed Forest,Developed
66,354052,17039,7733,North Cascades,North Pacific Montane Massive Bedrock-Cliff and Talus,Sparsely Vegetated
67,1213070,17039,7174,North Cascades,North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest,Conifer
68,9375,17039,7297,North Cascades,Developed-Medium Intensity,Developed-Medium Intensity
69,1884,17039,7960,North Cascades,Western Cool Temperate Orchard,Agricultural
70,8469,17039,7903,North Cascades,Western Cool Temperate Urban Herbaceous,Developed
71,61270,17039,7296,North Cascades,Developed-Low Intensity,Developed-Low Intensity
72,221,17039,7198,North Cascades,Recently Disturbed Other-Herb and Grass Cover,Grassland
73,7679,17039,7924,North Cascades,Western Cool Temperate Developed Ruderal Grassland,Developed
74,42,17039,7200,North Cascades,Recently Disturbed Other-Tree Cover,Conifer
75,111878,17039,7193,North Cascades,Recently Logged-Tree Cover,Conifer
76,182907,17039,7084,North Cascades,North Pacific Montane Shrubland,Shrubland
77,5965491,17039,7042,North Cascades,North Pacific Mesic Western Hemlock-Silver Fir Forest,Conifer
78,132333,17039,7191,North Cascades,Recently Logged-Herb and Grass Cover,Grassland
79,55,17039,7199,North Cascades,Recently Disturbed Other-Shrub Cover,Shrubland
80,149865,17039,9826,North Cascades,Southern Vancouverian Lowland Ruderal Grassland,Exotic Herbaceous
81,29988,17039,7192,North Cascades,Recently Logged-Shrub Cover,Shrubland
82,921,17039,7966,North Cascades,Western Cool Temperate Fallow/Idle Cropland,Agricultural
83,1450,17039,7298,North Cascades,Developed-High Intensity,Developed-High Intensity
84,34367,17039,7662,North Cascades,Temperate Pacific Freshwater Emergent Marsh,Riparian
85,3311,17039,7904,North Cascades,Western Cool Temperate Urban Shrubland,Developed
86,1299,17039,9326,North Cascades,Southern Vancouverian Lowland Ruderal Shrubland,Exotic Tree-Shrub
87,920,17039,7965,North Cascades,Western Cool Temperate Close Grown Crop,Agricultural
88,121,17039,7961,North Cascades,Western Cool Temperate Vineyard,Agricultural
89,7951,17039,7920,North Cascades,Western Cool Temperate Developed Ruderal Deciduous Forest,Developed
