VALUE,COUNT,US_200EVT,PADUS_GAP_RESAMP,ECOREGION_RASTER,EVT_NAME,EVT_PHYS,ECO_NAME
1,9895,7921,3,17051,Western Cool Temperate Developed Ruderal Evergreen Forest,Developed,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
2,8550,7920,3,17051,Western Cool Temperate Developed Ruderal Deciduous Forest,Developed,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
3,20747,7901,3,17051,Western Cool Temperate Urban Evergreen Forest,Developed,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
4,27024,7035,3,17051,North Pacific Dry Douglas-fir-(Madrone) Forest and Woodland,Conifer,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
5,195307,7039,3,17051,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Conifer,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
6,19807,7296,3,17051,Developed-Low Intensity,Developed-Low Intensity,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
7,237313,7063,3,17051,North Pacific Broadleaf Landslide Forest,Hardwood,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
8,16246,7900,3,17051,Western Cool Temperate Urban Deciduous Forest,Developed,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
9,20026,7299,3,17051,Developed-Roads,Developed-Roads,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
10,6906,7297,3,17051,Developed-Medium Intensity,Developed-Medium Intensity,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
11,1246,7922,3,17051,Western Cool Temperate Developed Ruderal Mixed Forest,Developed,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
12,37867,7039,2,17051,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Conifer,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
13,6384,9170,2,17051,North Pacific Lowland Mixed Hardwood-Conifer Forest,Conifer-Hardwood,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
14,3858,7296,2,17051,Developed-Low Intensity,Developed-Low Intensity,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
15,6434,7901,2,17051,Western Cool Temperate Urban Evergreen Forest,Developed,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
16,15992,7035,2,17051,North Pacific Dry Douglas-fir-(Madrone) Forest and Woodland,Conifer,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
17,38352,7063,2,17051,North Pacific Broadleaf Landslide Forest,Hardwood,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
18,5127,7900,2,17051,Western Cool Temperate Urban Deciduous Forest,Developed,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
19,1298,7903,2,17051,Western Cool Temperate Urban Herbaceous,Developed,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
20,1661,7902,2,17051,Western Cool Temperate Urban Mixed Forest,Developed,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
21,81445,7037,2,17051,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Conifer,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
22,849,7297,2,17051,Developed-Medium Intensity,Developed-Medium Intensity,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
23,491,7904,2,17051,Western Cool Temperate Urban Shrubland,Developed,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
24,6331,7299,2,17051,Developed-Roads,Developed-Roads,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
25,206,7298,2,17051,Developed-High Intensity,Developed-High Intensity,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
26,503,7923,2,17051,Western Cool Temperate Developed Ruderal Shrubland,Developed,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
27,29885,7292,2,17051,Open Water,Open Water,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
28,825,9326,2,17051,Southern Vancouverian Lowland Ruderal Shrubland,Exotic Tree-Shrub,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
29,1109,9171,2,17051,North Pacific Maritime Coastal Sand Dune and Strand,Sparsely Vegetated,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
30,2517,7942,2,17051,Western Cool Temperate Developed Ruderal Mixed Forested Wetland,Developed,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
31,1947,7920,2,17051,Western Cool Temperate Developed Ruderal Deciduous Forest,Developed,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
32,697,7923,3,17051,Western Cool Temperate Developed Ruderal Shrubland,Developed,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
33,949,9171,3,17051,North Pacific Maritime Coastal Sand Dune and Strand,Sparsely Vegetated,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
34,1962,7298,3,17051,Developed-High Intensity,Developed-High Intensity,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
35,49002,7967,3,17051,Western Cool Temperate Pasture and Hayland,Agricultural,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
36,2765,7668,3,17051,Temperate Pacific Tidal Salt and Brackish Marsh,Riparian,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
37,3115,7942,3,17051,Western Cool Temperate Developed Ruderal Mixed Forested Wetland,Developed,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
38,7504,7964,3,17051,Western Cool Temperate Row Crop,Agricultural,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
39,543,7962,3,17051,Western Cool Temperate Bush fruit and berries,Agricultural,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
40,1111,7966,3,17051,Western Cool Temperate Fallow/Idle Cropland,Agricultural,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
41,2161,7924,3,17051,Western Cool Temperate Developed Ruderal Grassland,Developed,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
42,3944,7921,2,17051,Western Cool Temperate Developed Ruderal Evergreen Forest,Developed,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
43,865,7924,2,17051,Western Cool Temperate Developed Ruderal Grassland,Developed,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
44,1812,7965,2,17051,Western Cool Temperate Close Grown Crop,Agricultural,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
45,3880,7966,2,17051,Western Cool Temperate Fallow/Idle Cropland,Agricultural,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
46,23117,7668,2,17051,Temperate Pacific Tidal Salt and Brackish Marsh,Riparian,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
47,476,7922,2,17051,Western Cool Temperate Developed Ruderal Mixed Forest,Developed,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
48,40001,7967,2,17051,Western Cool Temperate Pasture and Hayland,Agricultural,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
49,9562,7964,2,17051,Western Cool Temperate Row Crop,Agricultural,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
50,1820,7962,2,17051,Western Cool Temperate Bush fruit and berries,Agricultural,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
51,2,-9999,3,17051, , ,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
