state,currentAverageAcres,historic_acres_burned,state_total_acres,historical_ annual_percent_burned,acresDifference
Delaware,37,118405.446,1294831.485,9.144467627,118368.446
Illinois,457,6174939.014,36021546.07,17.14234864,6174482.014
Indiana,781,1720504.388,23289242.11,7.387549926,1719723.388
Iowa,214,5406922.818,36008125.23,15.01584096,5406708.818
Maine,104,84018.06248,20703053.39,0.405824498,83914.06248
Maryland,1617,868088.3451,6330821.501,13.71209637,866471.3451
Massachusetts,23,245353.5883,5208675.787,4.710479176,245330.5883
Michigan,4206,1272086.685,37249905.62,3.415006465,1267880.685
Minnesota,39573,4837030.606,54071620.33,8.945599516,4797457.606
Missouri,11589,7231215.113,44698682.7,16.17769177,7219626.113
New Jersey,5153,562946.2416,4875893.108,11.54550006,557793.2416
New York,1043,518849.1431,31127409.05,1.666856185,517806.1431
Ohio,130,1794310.198,26381445.93,6.801409608,1794180.198
Pennsylvania,627,2571093.722,29017036.92,8.860634976,2570466.722
West Virginia,29435,1281722.269,15500859.51,8.268717407,1252287.269
Wisconsin,854,2790353.602,35961308.96,7.759321567,2789499.602
